Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
crudRole,Chrome 107.0.0.0,,,2022-11-03 22:40:18,2022-11-03 22:44:17,3m - 59.004s,PASSED
,,,,,,,
Test Cases/crudRole/failedCreateRoleWithoutFillIdRole,Chrome 107.0.0.0,,,2022-11-03 22:40:19,2022-11-03 22:40:41,21.746s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:40:19,2022-11-03 22:40:25,5.630s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:40:25,2022-11-03 22:40:25,0.198s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:40:25,2022-11-03 22:40:26,1.012s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:40:26,2022-11-03 22:40:27,0.754s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:40:27,2022-11-03 22:40:27,0.434s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:40:27,2022-11-03 22:40:30,2.353s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:30,2022-11-03 22:40:30,0.603s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:30,2022-11-03 22:40:31,0.668s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), """")",Chrome 107.0.0.0,,,2022-11-03 22:40:31,2022-11-03 22:40:32,1.045s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), """")",Chrome 107.0.0.0,,,2022-11-03 22:40:32,2022-11-03 22:40:33,0.795s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:40:33,2022-11-03 22:40:33,0.561s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:40:33,2022-11-03 22:40:34,0.528s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:40:34,2022-11-03 22:40:35,0.524s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:40:35,2022-11-03 22:40:35,0.512s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:40:35,2022-11-03 22:40:36,0.495s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:40:36,2022-11-03 22:40:36,0.500s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:36,2022-11-03 22:40:37,0.504s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:40:37,2022-11-03 22:40:40,3.032s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:40:40,2022-11-03 22:40:41,0.990s,PASSED
,,,,,,,
Test Cases/crudRole/failedCreateRoleWithoutFillIdRoleAndNamaRole,Chrome 107.0.0.0,,,2022-11-03 22:40:41,2022-11-03 22:41:01,20.495s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:40:41,2022-11-03 22:40:45,4.048s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:40:45,2022-11-03 22:40:45,0.185s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:40:45,2022-11-03 22:40:46,1.262s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:40:46,2022-11-03 22:40:47,0.829s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:40:47,2022-11-03 22:40:48,0.462s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:40:48,2022-11-03 22:40:50,2.312s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:50,2022-11-03 22:40:51,0.633s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:51,2022-11-03 22:40:51,0.589s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), """")",Chrome 107.0.0.0,,,2022-11-03 22:40:51,2022-11-03 22:40:52,1.241s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagusCreateAll"")",Chrome 107.0.0.0,,,2022-11-03 22:40:52,2022-11-03 22:40:53,0.873s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:40:53,2022-11-03 22:40:54,0.631s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:40:54,2022-11-03 22:40:54,0.518s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:40:54,2022-11-03 22:40:55,0.508s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:40:55,2022-11-03 22:40:55,0.525s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:40:55,2022-11-03 22:40:56,0.473s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:40:56,2022-11-03 22:40:57,0.604s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:40:57,2022-11-03 22:40:57,0.502s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:40:57,2022-11-03 22:41:00,3.002s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:41:00,2022-11-03 22:41:01,1.015s,PASSED
,,,,,,,
Test Cases/crudRole/failedCreateRoleWithoutFillNamaRole,Chrome 107.0.0.0,,,2022-11-03 22:41:01,2022-11-03 22:41:19,18.032s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:41:01,2022-11-03 22:41:05,3.444s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:41:05,2022-11-03 22:41:05,0.169s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:41:05,2022-11-03 22:41:06,0.893s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:41:06,2022-11-03 22:41:07,0.667s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:41:07,2022-11-03 22:41:07,0.377s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:41:07,2022-11-03 22:41:09,1.655s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:09,2022-11-03 22:41:09,0.577s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:09,2022-11-03 22:41:10,0.538s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagusCreateAll"")",Chrome 107.0.0.0,,,2022-11-03 22:41:10,2022-11-03 22:41:11,1.102s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), """")",Chrome 107.0.0.0,,,2022-11-03 22:41:11,2022-11-03 22:41:11,0.662s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:41:11,2022-11-03 22:41:12,0.512s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:41:12,2022-11-03 22:41:13,0.545s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:41:13,2022-11-03 22:41:13,0.559s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:41:13,2022-11-03 22:41:14,0.546s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:41:14,2022-11-03 22:41:14,0.511s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:41:14,2022-11-03 22:41:15,0.551s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:15,2022-11-03 22:41:15,0.528s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:41:15,2022-11-03 22:41:18,3.014s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:41:18,2022-11-03 22:41:19,0.862s,PASSED
,,,,,,,
Test Cases/crudRole/successCreateAll,Chrome 107.0.0.0,,,2022-11-03 22:41:19,2022-11-03 22:41:37,18.198s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:41:19,2022-11-03 22:41:22,2.784s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:41:22,2022-11-03 22:41:22,0.333s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:41:22,2022-11-03 22:41:23,0.870s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:41:23,2022-11-03 22:41:24,0.699s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:41:24,2022-11-03 22:41:24,0.371s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:41:24,2022-11-03 22:41:27,2.261s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:27,2022-11-03 22:41:27,0.543s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:27,2022-11-03 22:41:28,0.616s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagAll"")",Chrome 107.0.0.0,,,2022-11-03 22:41:28,2022-11-03 22:41:29,1.055s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagAll"")",Chrome 107.0.0.0,,,2022-11-03 22:41:29,2022-11-03 22:41:30,0.977s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:41:30,2022-11-03 22:41:30,0.393s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:41:30,2022-11-03 22:41:31,0.534s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:41:31,2022-11-03 22:41:31,0.507s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:41:31,2022-11-03 22:41:32,0.509s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:41:32,2022-11-03 22:41:32,0.490s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:41:32,2022-11-03 22:41:33,0.490s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:33,2022-11-03 22:41:33,0.486s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:41:33,2022-11-03 22:41:36,3.006s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:41:36,2022-11-03 22:41:37,1.026s,PASSED
,,,,,,,
